chrom	end	h	hlow	hhigh	sample	pop
chr1	1000000	0.00609689	0.00512825	0.00706552	29779	hKIWA
chr1	2000000	0.00785291	0.00694296	0.00876285	29779	hKIWA
chr1	3000000	0.00901659	0.00808169	0.00995148	29779	hKIWA
chr1	4000000	0.00910908	0.0081777	0.0100405	29779	hKIWA
chr1	5000000	0.00526873	0.00448397	0.00605349	29779	hKIWA
chr1	6000000	0.00688057	0.00600638	0.00775475	29779	hKIWA
chr1	7000000	0.00876374	0.0078351	0.00969239	29779	hKIWA
chr1	8000000	0.00933442	0.00838804	0.0102808	29779	hKIWA
chr1	9000000	0.00771561	0.00684333	0.00858788	29779	hKIWA
chr1	10000000	0.00736879	0.00651365	0.00822392	29779	hKIWA
chr1	11000000	0.00589568	0.00510062	0.00669075	29779	hKIWA
chr1	12000000	0.00792384	0.00703211	0.00881557	29779	hKIWA
chr1	13000000	0.0074051	0.00653495	0.00827524	29779	hKIWA
chr1	14000000	0.00767495	0.00678701	0.00856288	29779	hKIWA
chr1	15000000	0.00674094	0.00584128	0.0076406	29779	hKIWA
chr1	16000000	0.00481533	0.00401026	0.00562039	29779	hKIWA
chr1	17000000	0.00438338	0.00366855	0.0050982	29779	hKIWA
chr1	18000000	0.00416683	0.00347353	0.00486013	29779	hKIWA
chr1	19000000	0.00322313	0.00256403	0.00388223	29779	hKIWA
chr1	20000000	0.00234571	0.00169973	0.00299169	29779	hKIWA
chr1	21000000	0.00302668	0.0023577	0.00369566	29779	hKIWA
chr1	22000000	0.00403617	0.00331941	0.00475293	29779	hKIWA
chr1	23000000	0.00439157	0.00364201	0.00514113	29779	hKIWA
chr1	24000000	0.00431371	0.00358452	0.0050429	29779	hKIWA
chr1	25000000	0.00468505	0.00393618	0.00543392	29779	hKIWA
chr1	26000000	0.00499675	0.00421617	0.00577733	29779	hKIWA
chr1	27000000	0.00476192	0.00397167	0.00555217	29779	hKIWA
chr1	28000000	0.00461356	0.00385764	0.00536949	29779	hKIWA
chr1	29000000	0.00458984	0.00383944	0.00534023	29779	hKIWA
chr1	30000000	0.00449515	0.00376692	0.00522337	29779	hKIWA
chr1	31000000	0.00765973	0.00677762	0.00854185	29779	hKIWA
chr1	32000000	0.00668709	0.00585516	0.00751903	29779	hKIWA
chr1	33000000	0.00615363	0.00535456	0.00695269	29779	hKIWA
chr1	34000000	0.00652889	0.00570389	0.00735389	29779	hKIWA
chr1	35000000	0.00557811	0.00479018	0.00636603	29779	hKIWA
chr1	36000000	0.00486522	0.0041041	0.00562635	29779	hKIWA
chr1	37000000	0.00556152	0.00477134	0.00635169	29779	hKIWA
chr1	38000000	0.00843992	0.00753351	0.00934634	29779	hKIWA
